indiv id,ucs_time(ms),ucs_result_size,ucs_nb indiv,severin ok, soft diff
table_O_0,2.374376,3,2,0,1
table_l_1,0.802616,3,2,0,1
room_B_table_0,0.409597,2,1,1,1
shelf_O_0,4.226670,3,2,0,1
shelf_l_1,1.538461,3,2,0,1
table_O_1,1.945553,3,1,1,1
room_B_shelf_2,0.446526,2,1,1,1
room_B_shelf_1,5.849635,3,2,0,1
shelf_O_1,3.277662,2,1,1,1
lamp_O_2,0.735108,3,2,0,1
lamp_O_0,7.014069,5,2,0,1
room_B_lamp_1,0.464758,2,1,1,1
room_B_lamp_0,0.772256,3,1,1,1
cup_O_4,5.927248,4,2,0,1
cup_O_3,15.155928,4,2,0,1
cup_O_0,4.221300,3,2,0,1
room_B_shelf_3,5.099002,3,2,0,1
room_B_cup_6,6.329725,3,2,0,1
room_B_cup_5,1.015293,2,1,1,1
TV_O_1,1.012234,3,2,0,1
room_B_cup_3,20.715389,5,2,0,1
TV_O_0,2.745053,5,3,0,1
room_B_cup_1,5.893492,4,2,0,1
cup_O_2,14.022109,4,2,0,1
bottle_l_1,0.131283,2,1,1,1
food_container_l_0,2.312981,2,1,1,1
shelf_l_0,7.198431,4,2,0,1
room_B_cup_2,18.066069,5,2,0,1
chair_l_0,0.586629,2,1,1,1
fan_O_0,0.012952,1,1,1,1
ball_O_0,0.141727,2,1,1,1
bottle_l_0,1.119924,4,2,0,1
room_B_book_1,28.865629,4,2,0,1
box_l_4,4.470673,3,2,0,1
room_B_book_13,15.685247,5,2,0,1
drawer_O_0,0.013160,1,1,1,1
room_B_book_10,5.911679,2,1,1,1
table_l_0,2.270701,3,1,1,1
room_B_book_3,18.002239,5,2,0,1
room_B_chair_2,0.826420,3,1,1,1
room_B_book_2,5.968753,3,1,1,1
cup_O_5,3.575444,3,2,0,1
box_l_5,1.144243,3,2,0,1
room_B_book_12,18.389738,5,2,0,1
ball_l_0,0.175575,2,1,1,1
room_B_cube_0,0.131024,2,1,1,1
room_B_book_7,15.880693,5,2,0,1
couch_l_0,0.013362,1,1,1,1
room_B_book_5,16.105089,4,2,0,1
room_B_book_8,0.637827,2,1,1,1
room_B_book_9,0.685999,2,1,1,1
room_B_book_4,20.141655,5,2,0,1
room_B_cube_1,0.127503,2,1,1,1
room_B_bed_0,0.013202,1,1,1,1
room_B_cup_4,5.101856,4,2,0,1
room_l_book_0,0.953376,2,1,1,1
room_B_box_0,0.409545,2,1,1,1
room_B_cup_0,7.298525,4,2,0,1
room_B_box_1,0.780212,2,1,1,1
box_l_0,0.476698,2,1,1,1
room_B_book_6,0.694669,2,1,1,1
room_B_box_2,0.940093,3,1,1,1
room_B_shelf_0,0.941829,2,1,1,1
lamp_O_1,0.401585,2,1,1,1
box_l_1,0.508015,2,1,1,1
box_l_2,9.136083,4,2,0,1
can_l_0,0.013077,1,1,1,1
box_l_3,9.653615,4,2,0,1
room_B_book_0,70.577606,6,3,0,1
room_B_coat_hanger_0,0.154667,2,1,1,1
box_O_5,7.610336,4,2,0,1
coat_hanger_l_0,0.178833,2,1,1,1
room_B_chair_0,3.404545,4,2,0,1
room_B_book_11,0.730637,2,1,1,1
chair_O_0,0.509738,2,1,1,1
room_B_chair_1,3.391011,3,2,0,1
chair_O_1,1.442332,3,1,1,1
