Entry,Entity name,Resolution time (ms),Resolution time (ms),Resolution time (ms)
1,ball_l_0,0.067859,0.175575,0.120015
2,ball_O_0,0.059308,0.141727,0.112483
3,bottle_l_0,0.139627,1.119924,0.591754
4,bottle_l_1,0.068305,0.131283,0.099736
5,box_l_0,0.193782,0.476698,0.374592
6,box_l_1,0.217469,0.508015,0.394767
7,box_l_2,1.361858,9.136083,7.154199
8,box_l_3,1.1367,9.653615,4.984035
9,box_l_4,0.617972,4.470673,2.772374
10,box_l_5,0.564576,1.144243,1.514405
11,box_O_5,0.619296,7.610336,7.494356
12,can_l_0,0.014065,0.013077,0.016982
13,chair_l_0,0.226579,0.586629,0.427859
14,chair_O_0,0.149172,0.509738,0.26145
15,chair_O_1,0.317905,1.442332,1.399296
16,coat_hanger_l_0,0.066575,0.178833,0.11939
17,couch_l_0,0.013508,0.013362,0.017672
18,cup_O_0,0.764456,4.2213,2.777132
19,cup_O_2,1.064564,14.022109,8.645581
20,cup_O_3,3.034582,15.155928,18.904949
21,cup_O_4,2.105825,5.927248,5.447168
22,cup_O_5,1.018651,3.575444,1.951084
23,drawer_O_0,0.013237,0.01316,0.016902
24,fan_O_0,0.014185,0.012952,0.017147
25,food_container_l_0,1.322064,2.312981,1.363851
26,lamp_O_0,0.685341,7.014069,3.129251
27,lamp_O_1,0.185361,0.401585,0.207447
28,lamp_O_2,0.343764,0.735108,0.596541
29,room_B_bed_0,0.013346,0.013202,0.017394
30,room_B_book_0,6.405807,70.577606,45.716713
31,room_B_book_1,5.771545,28.865629,20.767796
32,room_B_book_10,1.668816,5.911679,1.63053
33,room_B_book_11,0.869473,0.730637,1.323878
34,room_B_book_12,3.559328,18.389738,13.825704
35,room_B_book_13,2.979439,15.685247,11.037728
36,room_B_book_2,1.035305,5.968753,4.244997
37,room_B_book_3,4.698687,18.002239,12.628333
38,room_B_book_4,3.922041,20.141655,13.855048
39,room_B_book_5,3.558096,16.105089,13.210673
40,room_B_book_6,0.799378,0.694669,1.301659
41,room_B_book_7,3.029112,15.880693,11.307087
42,room_B_book_8,0.641222,0.637827,1.203315
43,room_B_book_9,0.758528,0.685999,1.284837
44,room_B_box_0,0.18311,0.409545,0.578893
45,room_B_box_1,0.361131,0.780212,0.621853
46,room_B_box_2,0.407418,0.940093,0.730397
47,room_B_chair_0,0.546668,3.404545,1.802689
48,room_B_chair_1,0.474871,3.391011,2.316866
49,room_B_chair_2,0.435847,0.82642,1.607748
50,room_B_coat_hanger_0,0.073927,0.154667,0.138173
51,room_B_cube_0,0.058384,0.131024,0.104184
52,room_B_cube_1,0.060926,0.127503,0.104204
53,room_B_cup_0,1.1184,7.298525,4.937895
54,room_B_cup_1,1.030775,5.893492,5.554281
55,room_B_cup_2,2.454008,18.066069,14.860561
56,room_B_cup_3,3.096267,20.715389,15.100975
57,room_B_cup_4,2.55846,5.101856,7.619192
58,room_B_cup_5,0.5239,1.015293,0.932277
59,room_B_cup_6,1.952396,6.329725,6.954328
60,room_B_lamp_0,0.305946,0.772256,1.257307
61,room_B_lamp_1,0.111063,0.464758,0.220344
62,room_B_shelf_0,0.485909,0.941829,0.438766
63,room_B_shelf_1,2.316131,5.849635,6.427223
64,room_B_shelf_2,0.220443,0.446526,0.390474
65,room_B_shelf_3,2.001844,5.099002,4.94336
66,room_B_table_0,0.245021,0.409597,0.628512
67,room_l_book_0,0.423708,0.953376,0.618058
68,shelf_l_0,1.733897,7.198431,7.687705
69,shelf_l_1,0.416069,1.538461,1.598254
70,shelf_O_0,0.42869,4.22667,3.003134
71,shelf_O_1,0.478794,3.277662,0.685916
72,table_l_0,0.516371,2.270701,0.638314
73,table_l_1,0.425897,0.802616,0.658631
74,table_O_0,0.478838,2.374376,0.952758
75,table_O_1,0.941871,1.945553,1.087856
76,TV_O_0,0.132627,2.745053,1.733654
77,TV_O_1,0.121472,1.012234,0.513965
